NAME	DESCRIPTION	Fabp_1	Fabp_2	Fabp_3	Fabp_4	KrasG12D_1	KrasG12D_2	KrasG12D_3	KrasG12D_4
ENSMUSG00000056941	NA	534.8241425	536.1384521	508.5195281	573.2397757	590.0848639	589.9873684	740.9811617	679.3562562
ENSMUSG00000056943	NA	0	0	1.146209652	0	0	0	0	0.920176493
ENSMUSG00000056952	NA	378.4781717	444.1117538	529.5945119	570.802896	616.3025435	546.0581793	775.6715525	800.3289584
ENSMUSG00000056962	NA	356.1523574	303.1180064	300.112324	420.0685247	266.7339514	330.1345614	231.2248102	358.0422609
ENSMUSG00000056966	NA	0.908034358	2.658110628	1.13288044	0.909893007	2.130629171	0	1.306186934	0.92857739
ENSMUSG00000056972	NA	3.841921295	0	0	0	0	0	1.236308061	0
ENSMUSG00000056973	NA	771.8710756	826.8814571	531.9070728	165.0574819	39.37800115	63.27205776	62.59265286	111.4642418
ENSMUSG00000056978	NA	0.937484904	0.880752224	1.149675064	13.59845614	32.14760243	6.532331902	92.46422852	14.67844556
ENSMUSG00000056999	NA	728.9276572	1153.179605	1219.800656	1050.157868	1087.241031	1354.174022	443.4152639	999.0232849
ENSMUSG00000057036	NA	4853.005889	5653.049299	4349.706672	4830.58213	4857.439853	4569.82862	4244.974848	4780.301117
ENSMUSG00000057037	NA	0	0	1.113486617	0	0	0	1.307798999	0
ENSMUSG00000057047	NA	0	0	0	0	0	0.933190272	0	0
ENSMUSG00000057054	NA	6.435761205	3.65957392	3.566280086	9.472405289	6.338004688	6.781759845	10.74919391	18.339174
ENSMUSG00000057058	NA	12.25847633	35.82035809	20.70996118	19.64660948	20.34337874	31.5597991	20.84382638	8.815530186
ENSMUSG00000057060	NA	0.9406541	0	0	0.903509402	0	0	0	0
ENSMUSG00000057068	NA	0	0.884698552	0	0.895217065	0	0.927096741	1.285359062	0
ENSMUSG00000057069	NA	180.4842521	167.6395464	215.7543052	187.0346173	139.552168	80.28667397	160.7200543	85.73504853
ENSMUSG00000057074	NA	2924.587617	3346.252335	3203.494811	508.2483788	156.9694632	257.8699158	34.94601029	206.9306903
ENSMUSG00000057092	NA	699.4478806	539.8969355	412.8362139	470.6242051	414.1199705	342.6722369	344.144682	484.133068
ENSMUSG00000057093	NA	23.98320391	5.163833886	2.259663752	5.345816428	2.857152361	32.55368452	9.254560257	6.113988566
ENSMUSG00000057098	NA	3.09660448	8.30336313	22.15649496	15.03173238	103.2158861	17.28786784	151.7871819	4.330042883
ENSMUSG00000057101	NA	250.925457	241.5201972	369.4458747	232.9998254	368.2895667	278.1448431	270.6889026	428.7358983
