Input Sample,B cells naive,B cells memory,Plasma cells,T cells CD8,T cells CD4 naive,T cells CD4 memory resting,T cells CD4 memory activated,T cells follicular helper,T cells regulatory (Tregs),T cells gamma delta,NK cells resting,NK cells activated,Monocytes,Macrophages M0,Macrophages M1,Macrophages M2,Dendritic cells resting,Dendritic cells activated,Mast cells resting,Mast cells activated,Eosinophils,Neutrophils,P-value,Pearson Correlation,RMSE
Fabp_1,0,0.25991051222503,0.096890606604686,0.080874488363152,0.016295284766742,0,0.043726461686691,0.04369781377141,0,0.0007,0,0.05512461506056,0.095565650464452,0.083219294708517,0.052545788440152,0,0.04539771310643,0,0.060837076652015,0,0.065251322020003,0,0.5,0.03136488494026203,1.081679327961847
Fabp_2,0,0.33780893757213,0.17799606871496,0.029229875837689,0.035712247748206,0,0.13273851750791,0,0,0.003117392148546,0,0.080415284838163,0.042497121666776,0.028568541075126,0.04296487415902,0.029066879861207,0,0,0.057552381223127,0,0.0023318776471356,0,0.02,0.3961065209108417,0.9312093717997594
Fabp_3,0,0.37532189394728,0.25044902702812,0.046998659631163,0,0,0.18855548600349,0,0,0,0.033976928751898,0,0.027747258028237,0.019270824823274,0,0,0.0057455006417822,0,0.029033968102068,0,0.022900453042696,0,0.04,0.19793987726798343,1.0718862586661857
Fabp_4,0,0.39183384273382,0.1954851637808,0.037184321938284,0,0,0.062649117208838,0.080685842135857,0,0,0.026439523779788,0,0.10930359348891,0.0094180485380241,0.079199889712044,0,0,0,0.0078006566836397,0,0,0,0.04,0.21731212299136016,1.051480652958804
KrasG12D_1,0,0.38315271169415,0.18016131588456,0.0039686828669142,0.019606764854358,0,0,0.020629866457194,0,0.015239882739492,0,0.051919965694606,0.097980133392507,0.052755304605598,0.067706178538095,0,0.020514814637173,0,0.074620710154821,0,0.011743668480532,0,0.14,0.11977386479200218,1.0930221529489152
KrasG12D_2,0,0.25749746024831,0.093826577426113,0.13605169475085,0,0,0.13861216983882,0.010452163240524,0,0,0.010219752092352,0.046108120699163,0.047808061567724,0.02471835210272,0.072137090303876,0.029814616109611,0,0,0.088953595475076,0,0.04380034614486,0,0.2,0.09077501754028333,1.0621057481556246
KrasG12D_3,0,0.40081505940826,0.20053096488101,0,0.067577104649584,0,0,0.05852633433601,0,0,0.090122347155165,0,0.015208820164327,0.027578642063548,0.056368544100964,0,0.011325488246289,0,0.06733835610325,0,0.0046083388915909,0,0.65,0.007121294796903554,1.1699781442639254
KrasG12D_4,0,0.35234096247315,0.16870488511059,0,0.059364593053883,0,0.046433486322796,0.040645405591028,0,0,0.13532064992437,0,0.068658496129767,0.029295342900129,0.0063491487716527,0,0.015755973231742,0,0.011458975841328,0,0.065672080649558,0,0.81,-0.0179,1.1532565966734931
