"","GENEID","Fabp_1","Fabp_2","Fabp_3","Fabp_4","KrasG12D_1","KrasG12D_2","KrasG12D_3","KrasG12D_4"
"1","CCND2",2596.02294032014,2163.52563228111,1491.38993157892,3330.9375508463,4372.96981368162,3281.11899193443,5859.49861714023,3223.62177774039
"2","LCK",73.3262169796236,159.867840633433,146.402048508421,110.047135318254,65.047684454694,152.604362583169,92.6766819702977,51.7066389485821
"3","TCF7",69.6831694497364,74.4351846934787,74.5840954333964,96.2836508181543,67.9117933924479,63.3982293895012,55.7528988857088,25.6411014055229
"4","EPN2",191.264104667656,162.894777073677,141.618657381775,355.02982824962,229.057365952553,187.081204458456,223.988587936735,191.515359717344
"5","MXD1",10531.5332113022,12444.8862200673,18570.8859355754,17920.5389244941,27997.9598603094,22550.5568263738,37271.076845098,25058.1760558506
"6","ACP5",2923.79076561313,2663.42938091358,2265.73516076965,3186.60240852859,2388.51555225308,2001.39587962795,2604.76679210344,2442.4195296982
"7","GSTT1",399.003106413292,122.620898700361,155.727715160754,243.175700599294,121.89761377534,85.7818268936042,145.410033167511,163.191568138496
"8","CD3G",80.6205689552796,113.169581930913,88.3953516622198,34.9529612821576,56.9941685493683,87.0119895918361,27.0265334513797,42.0994857750617
"9","BRAF",340.308608889929,263.341988923191,455.245265418407,398.464251736576,389.431322583959,318.450300808458,407.201673966039,340.854035070827
"10","HCK",275.427605160473,171.428737886543,174.537999001712,147.429956939398,236.317715691398,186.304877863077,54.6083431773777,189.979047535792
"11","CD79A",9.35513664811588,149.081663523221,186.457207394827,199.051169717208,170.503107529304,37.7958565172792,240.307698548132,47.3539397886271
"12","ETV3",1405.61162897324,1457.13138422971,2045.65803507463,2080.46962533492,3532.18661537544,2213.86827617785,4120.21817964517,2454.15382400861
"13","FOSB",76.0840356358273,0,0,103.175283392089,102.50585954278,118.412314933625,204.092084799782,128.642048738245
"14","TEP1",1908.53498599058,1426.5013615107,1828.82625885207,1531.13294457367,2022.73293602833,1851.25355296383,2448.86855527377,1654.09387328153
"15","PDK1",857.06546174172,1207.55862388239,1343.75398503803,1448.03997973707,1889.91800866097,2454.68417342084,2466.67424042618,1608.62772878381
"16","FZD3",128.074552410395,255.370988438438,283.060754431978,97.6359765007135,48.8023758255624,82.2756934923085,5.27031556005986,12.9231647209091
